district,trump16_margin,obama12_margin,house_dem18_margin,house_dem_avg_margin,rpt,incumbent_party,safety,house_dem20_margin,house20_winner,govtrack_ideology,last_name
AK-AL,0.1519999999999999,-0.1409999999999999,-0.0658477633733334,-0.165514411047347,0.51,R,Vulnerable,-0.264,Rep,0.5767421099262751,b'Young'
AL-1,0.294,-0.244,-0.263798497219898,-0.6426561460835089,0.88,R,Safe,-0.36,Rep,0.7680965801088768,b'Byrne'
AL-2,0.319,-0.265,-0.2296247182071343,-0.2331902505960815,0.94,R,Safe,-0.307,Rep,0.5549870798941844,b'Roby'
AL-3,0.33,-0.255,-0.2749886811978527,-0.3051662731442618,0.76,R,Safe,-0.378,Rep,0.5924983760943531,b'Rogers'
AL-4,0.6300000000000001,-0.508,-0.5964566673449684,-0.7620510545677303,0.91,R,Safe,-0.658,Rep,0.59934162787387,b'Aderholt'
AL-5,0.3340000000000001,-0.29,-0.2212542150510409,-0.4002457106674523,0.39,R,Safe,-1.0,Rep,0.7295286843978798,b'Brooks'
AL-6,0.4469999999999999,-0.4959999999999999,-0.3840720301227329,-0.4562007554773515,0.84,R,Safe,-0.971,Rep,0.6476621407399803,b'Palmer'
AL-7,-0.412,0.453,0.9780453894260506,0.8658834419150097,0.7,D,Safe,1.0,Dem,0.3215596669481391,b'Sewell'
AR-1,0.348,-0.247,-0.4017491117791746,-0.4110458685151804,1.0,R,Safe,-1.0,Rep,0.6961703414396823,b'Crawford'
AR-2,0.1069999999999999,-0.118,-0.0630886199808248,-0.1295131813454215,0.95,R,Vulnerable,-0.112,Rep,0.6817686195002942,b'Hill'
AR-3,0.314,-0.3389999999999999,-0.3211250805370296,-0.6618739664742745,1.0,R,Safe,-0.327,Rep,0.6084235867093667,b'Womack'
AR-4,0.329,-0.259,-0.3550943911914569,-0.3610770701206085,0.92,R,Safe,-0.4199999999999999,Rep,0.7399911539866878,b'Westerman'
AZ-1,0.011,-0.025,0.0768765337913255,0.0596318760092914,1.0,D,Vulnerable,0.034,Dem,0.4603826293056333,b'O\xe2\x80\x99Halleran'
AZ-2,-0.0489999999999999,-0.015,0.0949067148957002,-0.0091502585393275,0.93,D,Safe,0.1130000000000001,Dem,0.3456851265903178,b'Kirkpatrick'
AZ-3,-0.299,0.245,0.2773092391849285,0.3971701324977085,1.0,D,Safe,0.2919999999999999,Dem,0.0703358724669678,b'Grijalva'
AZ-4,0.402,-0.362,-0.3765625282004078,-0.4079917016363113,1.0,R,Safe,-0.3940000000000001,Rep,0.8885124052948375,b'Gosar'
AZ-5,0.211,-0.292,-0.1884918099813456,-0.3014424554624995,1.0,R,Safe,-0.1740000000000001,Rep,0.7736189679114288,b'Biggs'
AZ-6,0.1,-0.207,-0.1038607072384674,-0.2308825938094096,0.98,R,Vulnerable,-0.042,Rep,0.6483990021325805,b'Schweikert'
AZ-7,-0.4919999999999999,0.452,0.8560631877077796,0.7317256936187841,1.0,D,Safe,0.534,Dem,0.2538714304879589,b'Gallego'
AZ-8,0.211,-0.248,-0.1092777341607071,-0.4589476935113095,1.0,R,Safe,-0.1899999999999999,Rep,0.8788894695077509,b'Lesko'
AZ-9,-0.163,0.045,0.2217114203142644,0.1523984176400823,1.0,D,Safe,0.2319999999999999,Dem,0.3985182503109427,b'Stanton'
CA-1,0.197,-0.163,-0.0977317777457698,-0.1617617273849727,0.88,R,Safe,-0.134,Rep,0.7812099067394264,b'LaMalfa'
CA-2,-0.457,0.42,0.540159096741083,0.5004630969803145,0.76,D,Safe,0.56,Dem,0.1937130605905402,b'Huffman'
CA-3,-0.126,0.1119999999999999,0.1614589388205002,0.1218974119082679,0.86,D,Safe,0.122,Dem,0.2934674253089739,b'Garamendi'
CA-4,0.147,-0.184,-0.0826292954141152,-0.2899251951205719,0.96,R,Safe,-0.102,Rep,0.6379560112496783,b'McClintock'
CA-5,-0.449,0.422,0.788681240374227,0.6431973039598115,0.8,D,Safe,0.5619999999999999,Dem,0.2827403862045901,b'Thompson'
CA-6,-0.448,0.408,0.8042577213911132,0.5669073147912085,0.7,D,Safe,0.504,Dem,0.2466327950787308,b'Matsui'
CA-7,-0.1139999999999999,0.04,0.1008994485418139,0.0414707750589829,0.7,D,Safe,0.194,Dem,0.3709990428731049,b'Bera'
