,data_id,treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78,outcome,pscore
0,NSW,1.0,37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9930.046,9930.046,0.3312384839122203
1,NSW,1.0,22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,3595.894,3595.894,0.5247117602166298
2,NSW,1.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,24909.45,24909.45,0.47551963906200045
3,NSW,1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,7506.146,7506.146,0.8725598558210271
4,NSW,1.0,33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,289.7899,289.7899,0.7763624160159527
5,NSW,1.0,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,4056.494,4056.494,0.8731345676671606
6,NSW,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6029055982780575
7,NSW,1.0,32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,8472.158,8472.158,0.7606502353964991
8,NSW,1.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2164.022,2164.022,0.2752266048540889
9,NSW,1.0,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,12418.07,12418.07,0.002190372571238906
10,NSW,1.0,19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,8173.908,8173.908,0.698393471465008
11,NSW,1.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,17094.64,17094.64,0.5069720992007086
12,NSW,1.0,18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6100102404077261
13,NSW,1.0,27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,18739.93,18739.93,0.7010925853581111
14,NSW,1.0,17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3023.879,3023.879,0.49321977672621825
15,NSW,1.0,19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,3228.503,3228.503,0.6750663133569494
16,NSW,1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,14581.86,14581.86,0.6100886968036521
17,NSW,1.0,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,7693.4,7693.4,0.8659347228530576
18,NSW,1.0,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10804.32,10804.32,0.3711899957531224
19,NSW,1.0,26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10747.35,10747.35,0.6167764983096378
20,NSW,1.0,23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8659347228530576
21,NSW,1.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.501,5149.501,0.032617106545849754
22,NSW,1.0,38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6408.95,6408.95,0.06902829562103005
23,NSW,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1991.4,1991.4,0.8659347228530576
24,NSW,1.0,18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,11163.17,11163.17,0.5778663937314203
25,NSW,1.0,29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9642.999,9642.999,0.5180632368086711
26,NSW,1.0,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,9897.049,9897.049,0.8725598558210271
27,NSW,1.0,27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,11142.87,11142.87,0.4508591706519312
28,NSW,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,16218.04,16218.04,0.46133338121611384
29,NSW,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,995.7002,995.7002,0.8659347228530576
30,NSW,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.46133338121611384
31,NSW,1.0,48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,6551.592,6551.592,0.37982335548404855
32,NSW,1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1574.424,1574.424,0.7010925853581111
33,NSW,1.0,20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3914856679215514
